,0,1,2_2,2_3,2_4,2_5more,3,4,5,6
599,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,unacc
1201,2.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,acc
628,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,unacc
1498,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,acc
1263,2.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,unacc
931,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,acc
23,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,unacc
844,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,unacc
964,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,unacc
764,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,unacc
1481,3.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,vgood
1172,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,acc
344,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,unacc
413,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,unacc
494,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,unacc
298,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,unacc
529,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,unacc
1649,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,unacc
1190,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,unacc
1507,3.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,acc
548,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,unacc
371,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,acc
1340,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,acc
736,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,unacc
254,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,acc
829,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,unacc
479,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,unacc
297,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,unacc
1193,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,unacc
602,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,unacc
940,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,acc
352,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,unacc
173,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,unacc
1675,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,unacc
1078,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,acc
1633,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,acc
1615,3.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,good
1671,3.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,unacc
834,1.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,unacc
1431,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,unacc
1488,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,unacc
861,1.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,unacc
1504,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,acc
700,1.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,acc
1091,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,acc
1454,3.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,vgood
1244,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,unacc
1416,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,unacc
898,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,unacc
1655,3.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,unacc
188,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,unacc
818,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,unacc
943,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,acc
979,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,unacc
481,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,unacc
1419,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,unacc
1027,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,unacc
1707,3.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,unacc
570,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,unacc
1255,2.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,good
462,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,unacc
724,1.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,acc
115,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,unacc
990,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,unacc
1261,2.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,acc
1592,3.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,vgood
522,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,unacc
557,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,acc
727,1.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,acc
1308,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,unacc
1220,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,unacc
582,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,unacc
135,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,unacc
495,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,unacc
1094,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,acc
1562,3.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,vgood
210,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,unacc
621,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,unacc
759,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,unacc
49,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,unacc
1205,2.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,vgood
1161,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,unacc
846,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,unacc
1198,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,acc
1265,2.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,vgood
916,2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,acc
1404,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,unacc
398,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,acc
1670,3.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,vgood
998,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,acc
1356,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,unacc
1694,3.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,good
966,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,unacc
78,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,unacc
1384,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,unacc
1726,3.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,good
527,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,unacc
438,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,unacc
651,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,unacc
1453,3.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,acc
70,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,unacc
29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,unacc
1540,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,unacc
69,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,unacc
1228,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,acc
1667,3.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,good
1450,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,acc
1270,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,unacc
1328,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,unacc
1402,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,acc
353,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,unacc
1293,2.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,unacc
185,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,unacc
383,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,unacc
415,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,unacc
239,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,acc
1535,3.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,good
342,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,unacc
65,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,unacc
1233,2.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,unacc
1624,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,unacc
1229,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,good
1662,3.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,unacc
808,1.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,acc
1339,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,acc
405,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,unacc
1660,3.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,acc
1359,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,unacc
1083,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,unacc
464,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,unacc
843,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,unacc
30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,unacc
1210,2.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,acc
787,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,unacc
411,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,unacc
968,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,acc
99,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,unacc
1292,2.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,vgood
486,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,unacc
220,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,unacc
251,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,unacc
1288,2.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,acc
551,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,acc
1393,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,acc
660,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,unacc
1657,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,acc
331,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,unacc
497,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,unacc
339,0.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,unacc
32,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,unacc
1118,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,acc
1610,3.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,vgood
1197,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,unacc
552,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,unacc
869,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,unacc
1386,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,unacc
453,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,unacc
275,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,unacc
324,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,unacc
44,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,unacc
976,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,unacc
782,1.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,acc
526,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,unacc
841,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,unacc
59,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,unacc
892,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,unacc
259,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,acc
813,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,unacc
617,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,acc
1175,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,vgood
1394,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,acc
270,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,unacc
743,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,acc
212,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,unacc
618,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,unacc
944,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,acc
1574,3.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,unacc
414,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,unacc
420,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,unacc
483,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,unacc
394,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,acc
271,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,unacc
203,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,unacc
1192,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,unacc
1663,3.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,good
1040,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,acc
237,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,unacc
381,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,unacc
416,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,acc
261,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,unacc
67,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,unacc
1383,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,unacc
322,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,acc
124,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,unacc
1716,3.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,unacc
1405,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,unacc
1216,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,unacc
554,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,acc
1516,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,unacc
1330,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,unacc
303,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,unacc
532,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,unacc
162,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,unacc
1564,3.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,good
247,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,unacc
925,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,unacc
1331,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,unacc
1609,3.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,good
450,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,unacc
1414,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,acc
332,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,unacc
682,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,unacc
889,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,acc
704,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,unacc
777,1.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,unacc
1145,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,acc
544,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,unacc
168,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,unacc
1344,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,unacc
1103,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,acc
1556,3.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,vgood
73,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,unacc
109,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,unacc
607,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,acc
807,1.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,unacc
240,0.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,unacc
1352,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,unacc
366,0.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,unacc
1013,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,acc
711,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,unacc
316,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,unacc
51,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,unacc
1307,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,acc
741,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,unacc
965,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,acc
76,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,unacc
1461,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,unacc
482,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,unacc
874,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,unacc
485,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,unacc
1347,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,unacc
1398,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,unacc
300,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,unacc
433,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,unacc
123,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,unacc
471,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,unacc
1050,2.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,unacc
1379,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,unacc
1176,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,unacc
382,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,unacc
949,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,unacc
1278,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,unacc
518,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,unacc
1005,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,unacc
710,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,unacc
730,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,unacc
1389,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,unacc
478,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,unacc
422,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,acc
432,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,unacc
610,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,acc
141,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,unacc
855,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,unacc
576,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,unacc
1611,3.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,unacc
1665,3.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,unacc
367,0.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,acc
1538,3.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,vgood
184,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,unacc
720,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,unacc
244,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,unacc
1366,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,acc
289,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,unacc
1463,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,unacc
1589,3.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,vgood
974,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,unacc
561,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,unacc
1525,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,acc
1534,3.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,acc
250,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,unacc
425,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,acc
1131,2.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,unacc
365,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,acc
1474,3.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,acc
802,1.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,unacc
1296,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,unacc
715,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,acc
1226,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,good
1607,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,vgood
350,0.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,acc
1144,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,acc
170,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,unacc
774,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,unacc
530,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,unacc
426,0.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,unacc
1133,2.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,vgood
584,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,acc
374,0.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,acc
650,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,unacc
513,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,unacc
838,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,unacc
982,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,unacc
1157,2.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,vgood
514,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,unacc
1301,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,unacc
175,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,unacc
1088,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,unacc
1225,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,acc
1587,3.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,unacc
707,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,unacc
1160,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,vgood
836,1.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,acc
752,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,acc
198,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,unacc
15,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,unacc
