,0_F,0_I,0_M,1,2,3,4,5,6,7,8
4138,0.0,0.0,1.0,0.63,0.49,0.155,1.229,0.535,0.29,0.335,11
1606,0.0,1.0,0.0,0.54,0.425,0.13,0.7205,0.2955,0.169,0.225,10
1142,0.0,0.0,1.0,0.575,0.445,0.17,1.0225,0.549,0.2175,0.228,9
3022,0.0,1.0,0.0,0.46,0.37,0.11,0.3965,0.1485,0.0855,0.1455,8
2840,0.0,0.0,1.0,0.59,0.485,0.155,1.0785,0.4535,0.2435,0.31,9
519,1.0,0.0,0.0,0.345,0.25,0.09,0.203,0.078,0.059,0.055,6
1504,1.0,0.0,0.0,0.635,0.505,0.145,1.1345,0.505,0.2655,0.315,10
2846,0.0,0.0,1.0,0.625,0.475,0.175,1.3405,0.656,0.283,0.337,10
1895,0.0,0.0,1.0,0.57,0.455,0.155,0.832,0.3585,0.174,0.277,11
923,0.0,1.0,0.0,0.425,0.34,0.1,0.382,0.164,0.096,0.1,6
3798,1.0,0.0,0.0,0.695,0.535,0.175,1.361,0.5465,0.2815,0.465,10
2770,1.0,0.0,0.0,0.57,0.445,0.155,1.017,0.5265,0.2025,0.265,10
3377,0.0,1.0,0.0,0.255,0.19,0.07,0.0815,0.028,0.016,0.031,5
2635,0.0,1.0,0.0,0.43,0.32,0.1,0.3465,0.1635,0.08,0.09,7
4129,0.0,1.0,0.0,0.57,0.425,0.14,0.7655,0.331,0.14,0.24,10
2029,0.0,0.0,1.0,0.58,0.46,0.16,1.063,0.513,0.2705,0.2625,9
1287,0.0,1.0,0.0,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18,8
414,1.0,0.0,0.0,0.605,0.495,0.17,1.2385,0.528,0.2465,0.39,14
1116,0.0,1.0,0.0,0.525,0.395,0.12,0.608,0.297,0.1395,0.1405,8
4086,0.0,0.0,1.0,0.59,0.45,0.155,0.874,0.369,0.2135,0.24,8
3046,0.0,0.0,1.0,0.585,0.45,0.175,1.1275,0.4925,0.262,0.335,11
4023,0.0,1.0,0.0,0.275,0.2,0.07,0.096,0.037,0.0225,0.03,6
2205,0.0,1.0,0.0,0.275,0.22,0.08,0.1365,0.0565,0.0285,0.042,6
2504,0.0,1.0,0.0,0.31,0.24,0.105,0.2885,0.118,0.065,0.083,6
2608,1.0,0.0,0.0,0.625,0.49,0.175,1.1075,0.4485,0.2165,0.3595,8
1552,0.0,1.0,0.0,0.39,0.285,0.1,0.281,0.1275,0.062,0.077,7
2354,0.0,0.0,1.0,0.635,0.495,0.15,1.081,0.4825,0.242,0.31,11
2184,0.0,1.0,0.0,0.32,0.235,0.08,0.1485,0.064,0.031,0.045,6
3724,1.0,0.0,0.0,0.485,0.365,0.15,0.9145,0.4145,0.199,0.273,7
2447,0.0,1.0,0.0,0.275,0.205,0.08,0.096,0.036,0.0185,0.03,6
