,0,1,2_apr,2_aug,2_dec,2_feb,2_jan,2_jul,2_jun,2_mar,2_may,2_nov,2_oct,2_sep,3_fri,3_mon,3_sat,3_sun,3_thu,3_tue,3_wed,4,5,6,7,8,9,10,11,12
514,2,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,81.6,56.7,665.6,1.9,21.9,71,5.8,0.0,54.29
147,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,90.1,39.7,86.6,6.2,13.2,40,5.4,0.0,0.95
344,8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,91.5,130.1,807.1,7.5,15.9,51,4.5,0.0,2.18
19,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,89.2,27.9,70.8,6.3,15.9,35,4.0,0.0,0.0
439,2,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,93.7,231.1,715.1,8.4,23.6,53,4.0,0.0,6.43
248,2,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,92.2,91.6,503.6,9.6,20.7,70,2.2,0.0,0.75
341,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,91.6,108.4,764.0,6.2,19.3,44,2.2,0.0,3.93
43,4,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,94.8,108.3,647.1,17.0,16.6,54,5.4,0.0,0.0
31,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,94.3,85.1,692.3,15.9,25.4,24,3.6,0.0,0.0
444,1,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.7,80.9,368.3,16.8,14.8,78,8.0,0.0,0.0
419,2,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,92.0,203.2,664.5,8.1,24.9,42,5.4,0.0,2.44
506,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,91.0,163.2,744.4,10.1,26.7,35,1.8,0.0,5.8
394,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,93.4,15.0,25.6,11.4,15.2,19,7.6,0.0,0.0
315,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,92.6,115.4,777.1,8.8,19.7,41,1.8,0.0,1.58
55,4,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,91.7,114.3,661.3,6.3,17.6,45,3.6,0.0,0.0
213,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,26.13
264,6,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,91.1,141.1,629.1,7.1,19.3,39,3.6,0.0,1.56
237,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,92.5,121.1,674.4,8.6,18.2,46,1.8,0.0,200.94
29,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,93.4,145.4,721.4,8.1,30.2,24,2.7,0.0,0.0
490,4,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,95.1,141.3,605.8,17.7,20.6,58,1.3,0.0,0.0
412,7,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,84.6,3.2,43.6,3.3,8.2,53,9.4,0.0,4.62
129,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,91.4,37.9,673.8,5.2,15.9,46,3.6,0.0,0.0
480,7,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,89.2,103.9,431.6,6.4,22.6,57,4.9,0.0,278.53
193,2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,8.71
238,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,91.0,129.5,692.6,7.0,18.8,40,2.2,0.0,212.88
366,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,91.9,111.7,770.3,6.5,19.6,45,3.1,0.0,20.03
80,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,91.0,121.2,561.6,7.0,21.6,19,6.7,0.0,0.0
201,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,91.0,129.5,692.6,7.0,21.6,33,2.2,0.0,11.53
253,6,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,93.1,157.3,666.7,13.5,22.1,37,3.6,0.0,0.21
391,7,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,84.7,9.5,58.3,4.1,7.5,71,6.3,0.0,9.96
76,9,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,84.2,6.8,26.6,7.7,6.7,79,3.1,0.0,0.0
357,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,92.1,99.0,745.3,9.6,20.8,35,4.9,0.0,1.26
110,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,88.6,91.8,709.9,7.1,17.4,56,5.4,0.0,0.0
458,1,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,91.7,191.4,635.9,7.8,19.9,50,4.0,0.0,82.75
159,2,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,92.1,111.2,654.1,9.6,20.5,35,4.0,0.0,1.64
130,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,92.6,46.5,691.8,8.8,15.4,35,0.9,0.0,0.0
